fec_candidate_id,name,party,status,state,zip,fec_committee_id,cycle,cand_status,office_state,district,branch,url,crp_id
H8AK00140,"GALVIN, ALYSE",IND,C,AK,99509,C00665711,2018,C,AK,0,H,https://www.alyse4alaska.com/,
H6AK00045,"YOUNG, DONALD E",REP,I,AK,99503,C00012229,2018,C,AK,0,H,http://alaskansfordonyoung.com/,N00007999
H4AL01123,"BYRNE, BRADLEY ROBERTS",REP,I,AL,36532,C00545673,2018,C,AL,1,H,https://www.byrneforcongress.com/,N00035380
H8AL01066,"KENNEDY, ROBERT JR.",DEM,C,AL,36608,C00667949,2018,C,AL,1,H,http://www.kennedy4alabama.org/,
H8AL02197,"ISNER, TABITHA KAY",DEM,C,AL,36106,C00657437,2018,C,AL,2,H,http://tabithaisner.com/,
H0AL02087,"ROBY, MARTHA",REP,I,AL,36106,C00462143,2018,C,AL,2,H,http://martharoby.com/,N00030768
H4AL03053,"CASSON, THOMAS SICK OF D.C.",IND,C,AL,36832,C00668236,2018,N,AL,3,H,http://sickofdc.com/,
H8AL03054,"HAGAN, MALLORY",DEM,C,AL,36801,C00668574,2018,C,AL,3,H,https://www.haganforhouse.com/,
H2AL03032,"ROGERS, MICHAEL",REP,I,AL,36201,C00367862,2018,C,AL,3,H,http://www.mikerogersforcongress.com/,N00024759
H6AL04098,"ADERHOLT, ROBERT B. REP.",REP,I,AL,35565,C00313247,2018,C,AL,4,H,http://aderholtforcongress.org/,N00003028
H8AL04094,"AUMAN, JAMES LEE",DEM,C,AL,35578,C00665182,2018,C,AL,4,H,https://www.aumanforcongress.com/,
H0AL05163,"BROOKS, MO",REP,I,AL,35802,C00464149,2018,C,AL,5,H,http://mobrooksforcongress.com/,N00030910
H8AL05190,"JOFFRION, PETER S.",DEM,C,AL,35801,C00647677,2018,C,AL,5,H,https://www.peterjoffrion.com/,
H8AL06099,"KLINE, DANNER",DEM,C,AL,35243,C00638536,2018,C,AL,6,H,https://www.votedannerkline.com/,
H4AL06098,"PALMER, GARY",REP,I,AL,35209,C00551374,2018,C,AL,6,H,http://palmerforalabama.com/,N00035691
H8AL07089,"RICE, RICHARD BRAND NEW",DEM,C,TN,37902,C00640144,2018,N,AL,7,H,,
H0AL07086,"SEWELL, TERRI A.",DEM,I,AL,35201,C00458976,2018,C,AL,7,H,http://www.sewellforcongress.com/,N00030622
H0AR01083,"CRAWFORD, ERIC ALAN RICK",REP,I,AR,72404,C00462374,2018,C,AR,1,H,http://www.meetrickcrawford.com/,N00030770
H8AR01029,"DESAI, CHINTAN",DEM,C,AR,72342,C00661371,2018,C,AR,1,H,https://www.desaiforcongress.com/,
H8AR01045,"PRESLEY, ELVIS",LIB,C,AR,71667,,2018,N,AR,1,H,,
H4AR02141,"HILL, JAMES FRENCH",REP,I,AR,72217,C00551275,2018,C,AR,2,H,https://www.electfrench.com/,N00035792
H8AR02175,"SWAFFORD, JOE RYNE",LIB,C,AR,72113,,2018,N,AR,2,H,,
H8AR02159,"TUCKER, EVERETT CLARKE IV",DEM,C,AR,72217,C00671156,2018,C,AR,2,H,http://www.clarketucker.com/,
H8AR03090,"KALAGIAS, MICHAEL J",LIB,C,AR,72756,,2018,N,AR,3,H,https://mkin2012.blogspot.com/,
H8AR03074,"MAHONY, JOSH",DEM,C,AR,72702,C00650093,2018,C,AR,3,H,https://mahonyforcongress.com/,
H8AR03082,"MOODY, JOSH",IND,C,AR,72704,,2018,N,AR,3,H,,
H8AR03108,"TATE, JASON",OTH,C,AR,72703,,2018,N,AR,3,H,,
H0AR03055,"Womack, Steve",REP,I,AR,72756,C00477745,2018,C,AR,3,H,http://womackforcongress.com/,N00031857
H8AR04171,"CANADA, TOM",LIB,C,AR,72963,,2018,N,AR,4,H,,
H8AR04163,"FOSTER, JACK E",IND,C,AR,71603,,2018,N,AR,4,H,,
H8AR04155,"MARTIN, SUSANANN",W,C,AR,71646,C00671529,2018,N,AR,4,H,,
H8AR04122,"MCQUEEN, LEE",IND,C,AR,71854,C00658898,2018,N,AR,4,H,https://mcqueen2018.com/,
H8AR04130,"SHAMEL, HAYDEN CATHERINE",DEM,C,AR,71913,C00659235,2018,C,AR,4,H,https://www.haydenforcongress.com/,
H4AR04048,"WESTERMAN, BRUCE",REP,I,AR,71901,C00548180,2018,C,AR,4,H,https://www.brucewesterman.com/,N00035527
H4AS00036,"AMATA, AUMUA",REP,I,AS,96799,C00393041,2018,C,AS,0,H,,N00007635
S8AZ00221,"MCSALLY, MARTHA",REP,O,AZ,85016,C00666040,2018,C,AZ,0,S,https://mcsallyforsenate.com/,
S8AZ00197,"SINEMA, KYRSTEN",DEM,O,AZ,85011,C00508804,2018,C,AZ,0,S,https://kyrstensinema.com/,
H6AZ01199,"O'HALLERAN, TOM",DEM,I,AZ,86351,C00582890,2018,C,AZ,1,H,http://www.tomohalleran.com/,N00037515
H2AZ09035,"ROGERS, WENDY",REP,C,AZ,86001,C00510958,2018,C,AZ,1,H,http://wendyrogers.org/,
H8AZ02151,"KIRKPATRICK, ANN",DEM,O,AZ,85702,C00651042,2018,C,AZ,2,H,https://www.kirkpatrickforcongress.com/,
H8AZ02185,"Marquez Peterson, Lea",REP,O,AZ,85717,C00663054,2018,C,AZ,2,H,http://www.voteforlea.com/,
H2AZ07070,"GRIJALVA, RAUL M",DEM,I,AZ,85702,C00374058,2018,C,AZ,3,H,http://www.standwithraul.com/,N00025284
H8AZ03159,"PIERSON, JOE NICOLAS",REP,C,AZ,85749,C00666107,2018,C,AZ,3,H,https://www.piersonforcongress.com/,
