zip,cd,res_ratio,bus_ratio,oth_ratio,tot_ratio
00617,7200,1,1,1,1
00627,7200,1,1,1,1
00662,7200,1,1,1,1
00680,7200,1,1,1,1
00683,7200,1,1,1,1
00687,7200,1,1,1,1
00732,7200,1,1,1,1
00738,7200,1,1,1,1
00765,7200,1,1,1,1
00919,7200,1,1,1,1
00971,7200,1,1,1,1
00981,7200,1,1,1,1
01005,2502,1,1,1,1
01041,2501,1,1,1,1
01081,2501,1,1,1,1
01062,2502,1,1,1,1
01109,2501,1,1,1,1
01267,2501,1,1,1,1
01331,2502,1,1,1,1
01225,2501,1,1,1,1
01420,2503,0.992399332,0.987937967,0.987804878,0.991852975
01360,2502,1,1,1,1
01344,2502,1,1,1,1
01462,2503,0.994332137,1,1,0.994712725
01460,2503,1,1,1,1
01451,2503,1,1,1,1
01440,2503,0.992826697,0.994910941,1,0.993410958
01521,2501,1,1,1,1
01523,2503,1,1,1,1
01473,2503,1,1,1,1
01475,2503,0.745272525,0.872340426,0.841269841,0.753912685
01560,2502,1,1,1,1
01550,2501,1,1,1,1
01537,2502,1,1,1,1
01534,2502,1,1,1,1
01588,2502,1,1,1,1
01583,2502,1,1,1,1
01585,2501,0.183741648,0.020833333,0,0.177861365
01571,2501,1,0.995215311,1,0.999806277
01604,2502,1,1,1,1
01607,2502,1,1,1,1
01701,2505,1,1,1,1
01747,2502,0.016837782,0.051383399,0.061538462,0.021067926
01773,2505,0.991660876,1,0.980392157,0.991976893
01824,2503,0.999424405,0.999282125,1,0.99942491
01833,2506,1,1,1,1
01863,2503,1,1,1,1
01864,2506,1,1,1,1
01886,2503,0.99911076,1,1,0.999206489
01879,2503,1,1,1,1
01876,2506,1,1,1,1
01890,2505,1,1,1,1
01915,2506,1,1,1,1
01906,2506,1,1,1,1
01929,2506,1,1,1,1
01982,2506,1,1,1,1
01966,2506,1,1,1,1
02043,2508,1,1,1,1
02035,2504,1,0.981677917,0.995762712,0.997851882
02052,2504,1,1,1,1
02056,2504,1,1,1,1
02054,2504,1,1,1,1
02045,2508,1,1,1,1
02061,2509,0.998932536,1,1,0.999146903
02125,2507,0.625699496,0.610719323,0.664179104,0.626984629
02122,2508,0.372026942,0.331196581,0.368421053,0.368368094
02130,2508,0.601712037,0.616170213,0.498930862,0.595763584
02139,2507,0.717764283,0.745972073,0.642354447,0.714559011
02170,2508,1,1,1,1
02186,2508,0.73755249,0.919117647,0.813084112,0.747582841
02184,2508,1,1,1,1
02199,2507,1,1,1,1
02331,2509,1,1,1,1
02350,2509,1,0,1,1
02338,2509,0.999059856,1,1,0.999107143
02339,2509,1,1,1,1
02375,2504,0.995718178,0.994897959,1,0.995800355
02364,2509,1,1,1,1
02446,2504,0.978790757,0.987509184,0.975294778,0.979088557
02464,2504,1,1,1,1
02455,2507,1,1,1,1
02452,2505,1,1,1,1
02568,2509,1,1,1,1
02562,2509,1,1,1,1
02630,2509,1,1,1,1
02657,2509,1,1,1,1
02648,2509,1,1,1,1
02725,2504,1,1,1,1
02760,2504,1,1,1,1
02747,2509,1,1,1,1
02770,2509,1,1,1,1
02815,4402,1,1,1,1
02808,4402,1,1,1,1
02839,4402,1,1,1,1
02835,4401,1,1,1,1
02822,4402,1,1,1,1
02842,4401,1,1,1,1
02862,4401,1,1,1,1
02907,4401,0.877897167,0.815184049,0.831442464,0.869519041
02908,4401,0.332286726,0.434738956,0.521367521,0.343881215
02905,4401,0.559362934,0.731077471,0.518292683,0.574549149
02905,4402,0.440637066,0.268922529,0.481707317,0.425450851
02909,4402,0.939949319,0.980683507,0.983255814,0.945177927
03031,3302,1,1,1,1
03070,3302,1,1,1,1
03103,3301,1,1,1,1
03079,3302,1,1,1,1
03221,3302,1,1,1,1
03249,3301,1,1,1,1
03235,3302,0.999752903,1,1,0.9997849
03302,3302,1,1,1,1
03576,3302,1,1,1,1
03561,3302,1,1,1,1
03467,3302,1,1,1,1
03441,3302,1,1,1,1
03446,3302,1,1,1,1
03447,3302,1,1,1,1
03748,3302,1,1,1,1
03741,3302,1,1,1,1
03592,3302,1,1,1,1
03602,3302,1,1,1,1
24226,5109,1,1,0,1
03810,3301,1,1,1,1
03811,3302,0.9972106,0.986486486,1,0.996402878
03785,3302,1,1,1,1
03835,3301,1,1,1,1
03827,3301,1,1,1,1
03884,3301,1,1,1,1
03868,3301,1,1,1,1
03872,3301,1,1,1,1
03873,3301,1,1,1,1
03857,3301,1,1,1,1
03856,3301,1,1,1,1
04005,2301,1,1,1,1
03901,2301,1,1,1,1
04027,2301,1,1,1,1
04015,2301,1,1,1,1
04022,2302,1,1,1,1
04021,2301,1,1,1,1
04066,2301,1,1,1,1
04076,2301,1,1,1,1
04079,2301,1,1,1,1
04104,2301,1,1,1,1
04095,2301,1,1,1,1
04226,2302,1,0,1,1
04110,2301,1,1,1,1
04243,2302,1,1,1,1
04290,2302,1,1,1,1
04412,2302,1,1,1,1
04411,2302,1,1,1,1
04354,2302,1,1,1,1
04479,2302,1,1,1,1
04481,2302,1,1,1,1
04453,2302,1,1,1,1
04424,2302,1,1,1,1
04605,2302,1,1,1,1
04539,2301,1,1,1,1
04736,2302,1,1,1,1
04743,2302,1,1,1,1
04691,2302,1,1,1,1
04671,2302,1,1,1,1
04677,2302,1,1,1,1
04655,2302,1,1,1,1
04642,2302,1,1,0,1
04616,2302,1,1,1,1
04862,2301,1,1,1,1
04849,2302,1,1,1,1
04847,2301,1,1,1,1
04747,2302,1,1,1,1
04955,2302,1,1,1,1
04963,2302,1,1,1,1
04947,2302,1,1,1,1
05041,5000,1,1,1,1
04965,2302,1,1,1,1
04969,2302,1,1,1,1
05101,5000,1,1,1,1
05148,5000,1,1,1,1
05142,5000,1,1,1,1
05061,5000,1,1,1,1
05153,5000,1,1,1,1
05444,5000,1,1,1,1
05402,5000,1,1,1,1
05401,5000,1,1,1,1
05350,5000,1,1,1,1
05452,5000,1,1,1,1
05455,5000,1,1,1,1
05445,5000,1,1,1,1
05658,5000,1,1,1,1
05651,5000,1,1,1,1
05677,5000,1,1,1,1
05671,5000,0,1,1,1
05667,5000,1,1,1,1
05767,5000,1,1,1,1
05765,5000,1,1,1,1
05753,5000,1,1,1,1
05738,5000,1,1,1,1
05857,5000,1,1,1,1
05845,5000,1,1,1,1
06001,905,0.999770009,1,1,0.99980282
05872,5000,1,1,1,1
06039,905,1,1,1,1
06057,901,0.99714467,1,1,0.997386001
06053,905,1,1,1,1
06060,901,1,1,1,1
06052,905,1,1,1,1
06045,901,1,1,1,1
06092,905,1,1,1,1
06106,901,1,1,1,1
06110,901,1,1,1,1
06134,901,1,1,1,1
06127,901,1,1,1,1
06120,901,1,1,1,1
06119,901,1,1,1,1
06269,902,1,1,1,1
06277,902,1,1,1,1
06374,902,1,1,1,1
06417,902,1,1,1,1
06410,905,0.993570855,0.99766173,1,0.994169776
06457,903,0.933933002,0.938850817,0.965179543,0.935431768
06455,903,1,1,1,1
06450,905,0.997761836,1,1,0.998021811
06443,902,0.997926028,1,1,0.998167752
06472,903,1,1,1,1
06469,902,1,1,1,1
06478,904,0.991300829,1,1,0.991995532
06510,903,1,1,1,1
06517,903,1,1,1,1
06606,904,1,1,1,1
06716,905,0.999694563,1,1,0.999724252
06705,905,0.998751976,1,0.995492111,0.998533929
06708,903,0.341793968,0.276923077,0.349124614,0.338522735
06759,905,1,1,1,1
06798,905,1,1,1,1
07001,3406,1,1,1,1
07002,3410,0.41370276,0.232501224,0.423712651,0.403455162
07004,3411,1,1,1,1
06614,903,1,1,1,1
06902,904,1,1,1,1
06776,905,1,1,1,1
06778,905,1,1,1,1
06783,905,1,1,1,1
07032,3409,0.471443483,0.33787789,0.304843305,0.446631996
07032,3408,0.528556517,0.66212211,0.695156695,0.553368004
07081,3407,1,1,1,1
07086,3408,1,1,1,1
07067,3406,1,1,1,1
07064,3406,1,1,1,1
07055,3409,1,1,1,1
07027,3407,1,1,1,1
07104,3410,0.0726437,0.007234727,0.0060173,0.062305047
07094,3409,1,0.971052632,0.983436853,0.995722929
07202,3408,1,1,1,1
07424,3411,0.991223404,0.981268012,0.988450433,0.990005107
07405,3411,1,1,1,1
07422,3405,1,1,1,1
07307,3408,1,1,1,1
07108,3410,1,0.998175182,0.999434709,0.999849102
07508,3411,0.393330758,0.387283237,0.256965944,0.387849924
07644,3405,1,1,1,1
07632,3409,1,1,1,1
07640,3405,1,1,1,1
07630,3405,1,1,1,1
07649,3405,1,1,1,1
07650,3409,1,1,1,1
07647,3405,1,1,1,1
07728,3404,1,1,1,1
07737,3406,1,1,1,1
07474,3411,1,1,1,1
07719,3404,1,1,1,1
07726,3406,0.048436041,0.134935305,0.051698671,0.055772793
07704,3404,1,1,1,1
07656,3405,1,1,1,1
07626,3405,0.048336472,0.160550459,0.051282051,0.055427915
07601,3405,0.999401018,1,1,0.999531012
07604,3409,0.970665499,0.905426357,0.848484848,0.957093299
07801,3411,0.356393636,0.182242991,0.149212234,0.320633397
07758,3406,1,1,1,1
07869,3411,0.976956568,1,0.988980716,0.979062056
08016,3403,1,1,1,1
08026,3401,1,1,1,1
08029,3401,1,1,1,1
08008,3402,1,1,1,1
07950,3411,1,1,1,1
07921,3407,1,1,1,1
07927,3411,1,1,1,1
07849,3411,1,1,1,1
07834,3411,1,1,1,1
07836,3407,1,1,1,1
07853,3407,1,1,1,1
07851,3405,1,1,1,1
08050,3402,0.479716948,0.647673314,0.537037037,0.491735537
08037,3402,0.81343127,0.847475832,0.85042735,0.817204301
08043,3401,1,1,1,1
08045,3401,1,1,1,1
08205,3402,1,1,1,1
08215,3402,1,1,1,1
08096,3401,1,1,1,1
08105,3401,1,1,1,1
08097,3401,1,1,1,1
08084,3401,1,1,1,1
08056,3402,0.326603325,0.06122449,0.095238095,0.316419612
08056,3401,0.673396675,0.93877551,0.904761905,0.683580388
08332,3402,1,1,1,1
08530,3407,0.937551582,0.987745098,0.994285714,0.94476055
08751,3403,1,1,1,1
08750,3404,1,1,1,1
08302,3402,1,1,1,1
08328,3402,1,1,1,1
08733,3404,1,1,1,1
08724,3403,0.996587031,0.995127893,1,0.996556761
08738,3403,1,1,1,1
08648,3412,1,1,1,1
08722,3403,1,1,1,1
08512,3412,1,1,1,1
27377,3706,1,1,1,1
08801,3407,1,1,1,1
08809,3407,1,1,1,1
08904,3406,1,1,1,1
28785,3711,1,1,1,1
08901,3406,0.999937958,0.999770115,1,0.99988466
08882,3412,0.999688279,0.979742173,0.989583333,0.99758032
30042,1307,1,1,1,1
30038,1304,1,1,1,1
30034,1304,0.846948506,0.724378109,0.725,0.83869374
29588,4507,1,1,1,1
30112,1303,1,1,1,1
30054,1310,0.150597341,0.122137405,0.122641509,0.148946284
29708,4505,1,1,1,1
30095,1307,1,1,1,1
30090,1311,0,1,1,1
30083,1304,1,1,1,1
30183,1311,0.989085435,1,1,0.989353891
30180,1313,0.184340356,0.074605452,0.078212291,0.175194128
30171,1314,0.125935162,0.034482759,0.166666667,0.124466138
30144,1311,0.901666822,0.97867036,0.978761062,0.914201068
30143,1314,0.132834629,0.046979866,0.006514658,0.122125145
30148,1309,1,1,1,1
